Utility,Food,Money,Health,Energy,Time Available,Buy Food,Work,Sleep,Socialize,
3.468039,4.875,5,6.579235,4.9,0.5,0,1,0,0,
3.452814,4.8125,6,6.563978,4.849999,-1.25,0,1,0,0,
3.437398,4.75,6,6.548615,4.799999,-1,0,1,0,0,
3.421788,4.6875,6,6.533144,4.749999,-0.75,0,1,0,0,
3.405977,4.625,6,6.517561,4.699999,-0.5,0,1,0,0,
3.38996,4.5625,6,6.501866,4.649999,-0.25,0,1,0,0,
3.373732,4.5,6,6.486055,4.599998,0,0,1,0,0,
3.357287,4.4375,6,6.470126,4.549998,0.25,1,0,0,0,
3.54647,5.375,5,6.454076,4.499998,0,1,0,0,0,
3.532265,5.3125,5,6.437902,4.449998,0.25,1,0,0,0,
3.692249,6.25,4,6.421603,4.399998,0,1,0,0,0,
3.679637,6.1875,4,6.405174,4.349998,0.25,1,0,0,0,
3.818127,7.125,3,6.388613,4.299997,0,1,0,0,0,
3.806699,7.0625,3,6.371917,4.249997,0.25,1,0,0,0,
3.928696,8,2,6.355082,4.199997,0,1,0,0,0,
3.918178,7.9375,2,6.338106,4.149997,0.25,1,0,0,0,
4.027113,8.875,1,6.320984,4.099997,0,1,0,0,0,
4.01731,8.8125,1,6.303714,4.049996,0.25,0,0,1,0,
4.168492,8.75,1,7.384904,12,-7.5,0,0,1,0,
4.16008,8.6875,1,7.375729,11.95,-7.25,0,0,1,0,
4.151612,8.625,1,7.366535,11.9,-7,0,0,1,0,
4.143088,8.5625,1,7.357325,11.85,-6.75,0,0,1,0,
4.134507,8.5,1,7.348096,11.8,-6.5,0,0,1,0,
4.125868,8.4375,1,7.33885,11.75,-6.25,0,0,1,0,
4.11717,8.375,1,7.329586,11.7,-6,0,0,1,0,
4.108412,8.3125,1,7.320303,11.64999,-5.75,0,0,1,0,
4.099594,8.25,1,7.311002,11.59999,-5.5,0,0,1,0,
4.090714,8.1875,1,7.301682,11.54999,-5.25,0,0,1,0,
4.08177,8.125,1,7.292343,11.49999,-5,0,0,1,0,
4.072764,8.0625,1,7.282986,11.44999,-4.75,0,0,1,0,
4.063694,8,1,7.273609,11.39999,-4.5,0,0,1,0,
4.054558,7.9375,1,7.264214,11.34999,-4.25,0,0,1,0,
4.045356,7.875,1,7.254798,11.29999,-4,0,0,1,0,
4.036087,7.8125,1,7.245363,11.24999,-3.75,0,0,1,0,
4.026749,7.75,1,7.235909,11.19999,-3.5,0,0,1,0,
4.017342,7.6875,1,7.226435,11.14999,-3.25,0,0,1,0,
4.007864,7.625,1,7.21694,11.09999,-3,0,0,1,0,
3.998314,7.5625,1,7.207425,11.04999,-2.75,0,0,1,0,
3.988691,7.5,1,7.19789,10.99999,-2.5,0,0,1,0,
3.978994,7.4375,1,7.188334,10.94999,-2.25,0,0,1,0,
3.969222,7.375,1,7.178757,10.89999,-2,0,0,1,0,
3.959373,7.3125,1,7.169159,10.84999,-1.75,0,0,1,0,
3.949447,7.25,1,7.15954,10.79999,-1.5,0,0,1,0,
3.939442,7.1875,1,7.149899,10.74999,-1.25,0,0,1,0,
3.929356,7.125,1,7.140238,10.69999,-1,0,0,1,0,
3.919188,7.0625,1,7.130554,10.64999,-0.75,0,0,1,0,
3.908937,7,1,7.120848,10.59999,-0.5,0,0,1,0,
3.898601,6.9375,1,7.111119,10.54999,-0.25,0,0,1,0,
3.888179,6.875,1,7.101369,10.49999,0,0,0,1,0,
3.877669,6.8125,1,7.091595,10.44999,0.25,0,1,0,0,
3.86707,6.75,2,7.081799,10.39999,-1.5,0,1,0,0,
3.85638,6.6875,2,7.07198,10.34999,-1.25,0,1,0,0,
3.845598,6.625,2,7.062137,10.29999,-1,0,1,0,0,
3.834721,6.5625,2,7.05227,10.24999,-0.75,0,1,0,0,
3.823749,6.5,2,7.04238,10.19999,-0.5,0,1,0,0,
3.812678,6.4375,2,7.032466,10.14999,-0.25,0,1,0,0,
3.801507,6.375,2,7.022528,10.09999,0,0,1,0,0,
3.790235,6.3125,2,7.012565,10.04999,0.25,0,0,0,1,
3.80702,6.25,2,7.202577,9.999989,-1.5,0,0,0,1,
3.795579,6.1875,2,7.192564,9.949988,-1.25,0,0,0,1,
3.78403,6.125,2,7.182527,9.899988,-1,0,0,0,1,
3.772371,6.0625,2,7.172463,9.849988,-0.75,0,0,0,1,
3.760601,6,2,7.162374,9.799988,-0.5,0,0,0,1,
3.748716,5.9375,2,7.152258,9.749988,-0.25,0,0,0,1,
3.736715,5.875,2,7.142117,9.699987,0,0,0,0,1,
3.724595,5.8125,2,7.131948,9.649987,0.25,0,1,0,0,
3.712354,5.75,3,7.121754,9.599987,-1.5,0,1,0,0,
3.699988,5.6875,3,7.111532,9.549987,-1.25,0,1,0,0,
3.687496,5.625,3,7.101282,9.499987,-1,0,1,0,0,
3.674875,5.5625,3,7.091005,9.449986,-0.75,0,1,0,0,
3.662121,5.5,3,7.0807,9.399986,-0.5,0,1,0,0,
3.649232,5.4375,3,7.070366,9.349986,-0.25,0,1,0,0,
3.636204,5.375,3,7.060004,9.299986,0,0,1,0,0,
3.623035,5.3125,3,7.049613,9.249986,0.25,1,0,0,0,
3.784075,6.25,2,7.039193,9.199986,0,1,0,0,0,
3.772539,6.1875,2,7.028743,9.149985,0.25,1,0,0,0,
3.912126,7.125,1,7.018264,9.099985,0,1,0,0,0,
3.901816,7.0625,1,7.007754,9.049985,0.25,0,1,0,0,
3.891422,7,2,6.997213,8.999985,-1.5,0,1,0,0,
3.880942,6.9375,2,6.986642,8.949985,-1.25,0,1,0,0,
3.870373,6.875,2,6.97604,8.899984,-1,0,1,0,0,
3.859715,6.8125,2,6.965406,8.849984,-0.75,0,1,0,0,
3.848966,6.75,2,6.95474,8.799984,-0.5,0,1,0,0,
3.838124,6.6875,2,6.944042,8.749984,-0.25,0,1,0,0,
3.827188,6.625,2,6.933311,8.699984,0,0,1,0,0,
3.816155,6.5625,2,6.922547,8.649983,0.25,0,1,0,0,
3.805025,6.5,3,6.91175,8.599983,-1.5,0,1,0,0,
3.793795,6.4375,3,6.900919,8.549983,-1.25,0,1,0,0,
3.782463,6.375,3,6.890054,8.499983,-1,0,1,0,0,
3.771028,6.3125,3,6.879154,8.449983,-0.75,0,1,0,0,
3.759486,6.25,3,6.868219,8.399982,-0.5,0,1,0,0,
3.747837,6.1875,3,6.857248,8.349982,-0.25,0,1,0,0,
3.736079,6.125,3,6.846242,8.299982,0,0,1,0,0,
3.724208,6.0625,3,6.8352,8.249982,0.25,0,1,0,0,
3.712223,6,4,6.824121,8.199982,-1.5,0,1,0,0,
3.700121,5.9375,4,6.813004,8.149981,-1.25,0,1,0,0,
3.687901,5.875,4,6.80185,8.099981,-1,0,1,0,0,
3.675559,5.8125,4,6.790658,8.049981,-0.75,0,1,0,0,
3.663093,5.75,4,6.779428,7.999981,-0.5,0,1,0,0,
3.6505,5.6875,4,6.768158,7.949981,-0.25,0,1,0,0,
3.637777,5.625,4,6.756848,7.899981,0,0,1,0,0,
3.624923,5.5625,4,6.745499,7.84998,0.25,0,1,0,0,
3.611934,5.5,5,6.734109,7.79998,-1.5,0,1,0,0,
3.598806,5.4375,5,6.722678,7.74998,-1.25,0,1,0,0,
3.585537,5.375,5,6.711205,7.69998,-1,0,1,0,0,
3.572124,5.3125,5,6.699691,7.64998,-0.75,0,1,0,0,
3.558563,5.25,5,6.688133,7.599979,-0.5,0,1,0,0,
3.544851,5.1875,5,6.676532,7.549979,-0.25,0,1,0,0,
3.530983,5.125,5,6.664887,7.499979,0,0,1,0,0,
3.516958,5.0625,5,6.653198,7.449979,0.25,1,0,0,0,
3.685092,6,4,6.641464,7.399979,0,1,0,0,0,
3.672845,5.9375,4,6.629684,7.349978,0.25,0,1,0,0,
3.660478,5.875,5,6.617858,7.299978,-1.5,0,1,0,0,
3.647987,5.8125,5,6.605985,7.249978,-1.25,0,1,0,0,
3.63537,5.75,5,6.594065,7.199978,-1,0,1,0,0,
3.622624,5.6875,5,6.582096,7.149978,-0.75,0,1,0,0,
3.609746,5.625,5,6.570078,7.099977,-0.5,0,1,0,0,
3.596735,5.5625,5,6.558011,7.049977,-0.25,0,1,0,0,
3.583586,5.5,5,6.545893,6.999977,0,0,1,0,0,
3.570297,5.4375,5,6.533724,6.949977,0.25,0,1,0,0,
3.556864,5.375,6,6.521504,6.899977,-1.5,0,1,0,0,
3.543284,5.3125,6,6.509231,6.849977,-1.25,0,1,0,0,
3.529554,5.25,6,6.496905,6.799976,-1,0,1,0,0,
3.51567,5.1875,6,6.484525,6.749976,-0.75,0,1,0,0,
3.501629,5.125,6,6.472089,6.699976,-0.5,0,1,0,0,
3.487428,5.0625,6,6.459599,6.649976,-0.25,0,1,0,0,
3.473061,5,6,6.447051,6.599976,0,0,1,0,0,
3.458525,4.9375,6,6.434446,6.549975,0.25,0,0,0,1,
3.474485,4.875,6,6.621783,6.499975,-1.5,0,0,0,1,
3.459658,4.8125,6,6.609061,6.449975,-1.25,0,0,0,1,
3.44465,4.75,6,6.596279,6.399975,-1,0,0,0,1,
3.429456,4.6875,6,6.583435,6.349975,-0.75,0,0,0,1,
3.414071,4.625,6,6.57053,6.299974,-0.5,0,0,0,1,
3.398489,4.5625,6,6.557561,6.249974,-0.25,0,0,0,1,
3.382707,4.5,6,6.544529,6.199974,0,0,0,0,1,
3.366717,4.4375,6,6.531432,6.149974,0.25,1,0,0,0,
3.556367,5.375,5,6.518268,6.099974,0,1,0,0,0,
3.542639,5.3125,5,6.505037,6.049973,0.25,0,0,0,1,
3.559102,5.25,5,6.691738,5.999973,-1.5,0,0,0,1,
3.545126,5.1875,5,6.67837,5.949973,-1.25,0,0,0,1,
3.53099,5.125,5,6.664931,5.899973,-1,0,0,0,1,
3.516691,5.0625,5,6.65142,5.849973,-0.75,0,0,0,1,
3.502224,5,5,6.637836,5.799973,-0.5,0,0,0,1,
3.487586,4.9375,5,6.624178,5.749972,-0.25,0,0,0,1,
3.472771,4.875,5,6.610444,5.699972,0,0,0,0,1,
3.457776,4.8125,5,6.596633,5.649972,0.25,1,0,0,0,
3.633652,5.75,4,6.582744,5.599972,0,1,0,0,0,
3.620598,5.6875,4,6.568775,5.549972,0.25,0,1,0,0,
3.607407,5.625,5,6.554725,5.499971,-1.5,0,1,0,0,
3.594075,5.5625,5,6.540592,5.449971,-1.25,0,1,0,0,
3.5806,5.5,5,6.526376,5.399971,-1,0,1,0,0,
3.566977,5.4375,5,6.512073,5.349971,-0.75,0,1,0,0,
3.553204,5.375,5,6.497683,5.299971,-0.5,0,1,0,0,
3.539277,5.3125,5,6.483204,5.24997,-0.25,0,1,0,0,
3.525193,5.25,5,6.468635,5.19997,0,0,1,0,0,
3.510948,5.1875,5,6.453972,5.14997,0.25,1,0,0,0,
3.674786,6.125,4,6.439216,5.09997,0,1,0,0,0,
3.66222,6.0625,4,6.424364,5.04997,0.25,0,1,0,0,
3.649527,6,5,6.409413,4.999969,-1.5,0,1,0,0,
3.636705,5.9375,5,6.394362,4.949969,-1.25,0,1,0,0,
3.62375,5.875,5,6.37921,4.899969,-1,0,1,0,0,
3.610661,5.8125,5,6.363953,4.849969,-0.75,0,1,0,0,
3.597433,5.75,5,6.34859,4.799969,-0.5,0,1,0,0,
3.584064,5.6875,5,6.333118,4.749969,-0.25,0,1,0,0,
3.57055,5.625,5,6.317536,4.699968,0,0,1,0,0,
3.55689,5.5625,5,6.301841,4.649968,0.25,1,0,0,0,
3.710132,6.5,4,6.28603,4.599968,0,1,0,0,0,
3.697933,6.4375,4,6.2701,4.549968,0.25,1,0,0,0,
3.831325,7.375,3,6.25405,4.499968,0,1,0,0,0,
3.820225,7.3125,3,6.237877,4.449967,0.25,0,0,0,1,
3.840665,7.25,3,6.421576,4.399967,-1.5,0,0,0,1,
3.829445,7.1875,3,6.405148,4.349967,-1.25,0,0,0,1,
3.818123,7.125,3,6.388587,4.299967,-1,0,0,0,1,
3.806695,7.0625,3,6.37189,4.249967,-0.75,0,0,0,1,
3.795161,7,3,6.355056,4.199966,-0.5,0,0,0,1,
3.783517,6.9375,3,6.338079,4.149966,-0.25,0,0,0,1,
3.771762,6.875,3,6.320958,4.099966,0,0,0,0,1,
3.759894,6.8125,3,6.303687,4.049966,0.25,0,1,0,0,
3.74791,6.75,4,6.286264,3.999966,-1.5,0,1,0,0,
3.735807,6.6875,4,6.268685,3.949966,-1.25,0,1,0,0,
3.723583,6.625,4,6.250946,3.899966,-1,0,1,0,0,
3.711236,6.5625,4,6.233043,3.849966,-0.75,0,1,0,0,
3.698763,6.5,4,6.214971,3.799966,-0.5,0,1,0,0,
3.686161,6.4375,4,6.196725,3.749966,-0.25,0,1,0,0,
3.673428,6.375,4,6.178302,3.699966,0,0,1,0,0,
3.660559,6.3125,4,6.159696,3.649966,0.25,0,1,0,0,
3.647553,6.25,5,6.140902,3.599966,-1.5,0,1,0,0,
3.634406,6.1875,5,6.121916,3.549966,-1.25,0,1,0,0,
3.621115,6.125,5,6.102731,3.499966,-1,0,1,0,0,
3.607677,6.0625,5,6.083342,3.449966,-0.75,0,1,0,0,
3.594087,6,5,6.063743,3.399966,-0.5,0,1,0,0,
3.580342,5.9375,5,6.043928,3.349967,-0.25,0,1,0,0,
3.566439,5.875,5,6.02389,3.299967,0,0,1,0,0,
3.552374,5.8125,5,6.003622,3.249967,0.25,1,0,0,0,
3.698484,6.75,4,5.983117,3.199967,0,1,0,0,0,
3.685708,6.6875,4,5.962368,3.149967,0.25,0,0,0,1,
3.705898,6.625,4,6.141368,3.099967,-1.5,0,0,0,1,
3.692951,6.5625,4,6.120107,3.049967,-1.25,0,0,0,1,
3.679858,6.5,4,6.098577,2.999967,-1,0,0,0,1,
3.666614,6.4375,4,6.07677,2.949967,-0.75,0,0,0,1,
3.653215,6.375,4,6.054675,2.899967,-0.5,0,0,0,1,
3.639657,6.3125,4,6.032283,2.849967,-0.25,0,0,0,1,
3.625937,6.25,4,6.009583,2.799967,0,0,0,0,1,
3.612049,6.1875,4,5.986565,2.749967,0.25,1,0,0,0,
3.749219,7.125,3,5.963215,2.699967,0,1,0,0,0,
3.736428,7.0625,3,5.939523,2.649967,0.25,1,0,0,0,
3.857013,8,2,5.915474,2.599967,0,1,0,0,0,
3.845034,7.9375,2,5.891056,2.549967,0.25,1,0,0,0,
3.952454,8.875,1,5.866253,2.499967,0,1,0,0,0,
3.941082,8.8125,1,5.84105,2.449967,0.25,0,0,1,0,
4.154428,8.75,1,7.281777,10.39997,-7.5,0,0,1,0,
4.145911,8.6875,1,7.271958,10.34997,-7.25,0,0,1,0,
4.137336,8.625,1,7.262115,10.29997,-7,0,0,1,0,
4.128704,8.5625,1,7.252249,10.24997,-6.75,0,0,1,0,
4.120013,8.5,1,7.242359,10.19997,-6.5,0,0,1,0,
4.111263,8.4375,1,7.232445,10.14997,-6.25,0,0,1,0,
4.102453,8.375,1,7.222506,10.09997,-6,0,0,1,0,
4.093582,8.3125,1,7.212543,10.04997,-5.75,0,0,1,0,
4.084649,8.25,1,7.202556,9.999966,-5.5,0,0,1,0,
4.075654,8.1875,1,7.192543,9.949965,-5.25,0,0,1,0,
4.066594,8.125,1,7.182505,9.899965,-5,0,0,1,0,
4.05747,8.0625,1,7.172441,9.849965,-4.75,0,0,1,0,
4.04828,8,1,7.162353,9.799965,-4.5,0,0,1,0,
4.039023,7.9375,1,7.152237,9.749965,-4.25,0,0,1,0,
4.029699,7.875,1,7.142096,9.699965,-4,0,0,1,0,
4.020307,7.8125,1,7.131927,9.649964,-3.75,0,0,1,0,
4.010844,7.75,1,7.121732,9.599964,-3.5,0,0,1,0,
4.00131,7.6875,1,7.11151,9.549964,-3.25,0,0,1,0,
3.991705,7.625,1,7.101261,9.499964,-3,0,0,1,0,
3.982026,7.5625,1,7.090983,9.449964,-2.75,0,0,1,0,
3.972273,7.5,1,7.080678,9.399963,-2.5,0,0,1,0,
3.962444,7.4375,1,7.070345,9.349963,-2.25,0,0,1,0,
3.952538,7.375,1,7.059983,9.299963,-2,0,0,1,0,
3.942555,7.3125,1,7.049592,9.249963,-1.75,0,0,1,0,
3.932492,7.25,1,7.039171,9.199963,-1.5,0,0,1,0,
3.922348,7.1875,1,7.028722,9.149962,-1.25,0,0,1,0,
3.912122,7.125,1,7.018242,9.099962,-1,0,0,1,0,
3.901813,7.0625,1,7.007732,9.049962,-0.75,0,0,1,0,
3.891419,7,1,6.997192,8.999962,-0.5,0,0,1,0,
3.880939,6.9375,1,6.986621,8.949962,-0.25,0,0,1,0,
3.87037,6.875,1,6.976018,8.899961,0,0,0,1,0,
3.859712,6.8125,1,6.965384,8.849961,0.25,0,1,0,0,
3.848963,6.75,2,6.954719,8.799961,-1.5,0,1,0,0,
3.838121,6.6875,2,6.94402,8.749961,-1.25,0,1,0,0,
3.827185,6.625,2,6.93329,8.699961,-1,0,1,0,0,
3.816152,6.5625,2,6.922525,8.649961,-0.75,0,1,0,0,
3.805022,6.5,2,6.911728,8.59996,-0.5,0,1,0,0,
3.793792,6.4375,2,6.900897,8.54996,-0.25,0,1,0,0,
3.78246,6.375,2,6.890032,8.49996,0,0,1,0,0,
3.771024,6.3125,2,6.879132,8.44996,0.25,1,0,0,0,
3.907903,7.25,1,6.868197,8.39996,0,1,0,0,0,
3.897646,7.1875,1,6.857227,8.349959,0.25,0,0,0,1,
3.916101,7.125,1,7.04622,8.299959,-1.5,0,0,0,1,
3.905722,7.0625,1,7.035178,8.249959,-1.25,0,0,0,1,
3.895257,7,1,7.024098,8.199959,-1,0,0,0,1,
3.884705,6.9375,1,7.012982,8.149959,-0.75,0,0,0,1,
3.874063,6.875,1,7.001828,8.099958,-0.5,0,0,0,1,
3.863331,6.8125,1,6.990636,8.049958,-0.25,0,0,0,1,
3.852506,6.75,1,6.979405,7.999958,0,0,0,0,1,
3.841588,6.6875,1,6.968136,7.949958,0.25,0,1,0,0,
3.830574,6.625,2,6.956826,7.899958,-1.5,0,1,0,0,
3.819462,6.5625,2,6.945477,7.849957,-1.25,0,1,0,0,
3.808252,6.5,2,6.934087,7.799957,-1,0,1,0,0,
3.79694,6.4375,2,6.922656,7.749957,-0.75,0,1,0,0,
3.785525,6.375,2,6.911183,7.699957,-0.5,0,1,0,0,
3.774005,6.3125,2,6.899668,7.649957,-0.25,0,1,0,0,
3.762378,6.25,2,6.888111,7.599957,0,0,1,0,0,
3.750642,6.1875,2,6.87651,7.549956,0.25,0,1,0,0,
3.738795,6.125,3,6.864865,7.499956,-1.5,0,1,0,0,
3.726834,6.0625,3,6.853176,7.449956,-1.25,0,1,0,0,
3.714758,6,3,6.841442,7.399956,-1,0,1,0,0,
3.702563,5.9375,3,6.829662,7.349956,-0.75,0,1,0,0,
3.690248,5.875,3,6.817836,7.299955,-0.5,0,1,0,0,
3.67781,5.8125,3,6.805963,7.249955,-0.25,0,1,0,0,
3.665246,5.75,3,6.794042,7.199955,0,0,1,0,0,
3.652554,5.6875,3,6.782073,7.149955,0.25,1,0,0,0,
3.80336,6.625,2,6.770055,7.099955,0,1,0,0,0,
3.792097,6.5625,2,6.757988,7.049954,0.25,1,0,0,0,
3.923834,7.5,1,6.745871,6.999954,0,1,0,0,0,
3.91366,7.4375,1,6.733702,6.949954,0.25,0,1,0,0,
3.903404,7.375,2,6.721481,6.899954,-1.5,0,1,0,0,
3.893066,7.3125,2,6.709208,6.849954,-1.25,0,1,0,0,
3.882644,7.25,2,6.696882,6.799953,-1,0,1,0,0,
3.872135,7.1875,2,6.684502,6.749953,-0.75,0,1,0,0,
3.861539,7.125,2,6.672067,6.699953,-0.5,0,1,0,0,
3.850855,7.0625,2,6.659576,6.649953,-0.25,0,1,0,0,
3.84008,7,2,6.647028,6.599953,0,0,1,0,0,
3.829213,6.9375,2,6.634424,6.549953,0.25,1,0,0,0,
3.954055,7.875,1,6.62176,6.499952,0,1,0,0,0,
3.944163,7.8125,1,6.609038,6.449952,0.25,0,1,0,0,
3.934195,7.75,2,6.596256,6.399952,-1.5,0,1,0,0,
3.924149,7.6875,2,6.583413,6.349952,-1.25,0,1,0,0,
3.914023,7.625,2,6.570507,6.299952,-1,0,1,0,0,
3.903817,7.5625,2,6.557539,6.249951,-0.75,0,1,0,0,
3.893529,7.5,2,6.544507,6.199951,-0.5,0,1,0,0,
3.883157,7.4375,2,6.531409,6.149951,-0.25,0,1,0,0,
3.872701,7.375,2,6.518246,6.099951,0,0,1,0,0,
3.862159,7.3125,2,6.505015,6.049951,0.25,1,0,0,0,
3.98074,8.25,1,6.491715,5.99995,0,1,0,0,0,
3.971074,8.1875,1,6.478347,5.94995,0.25,0,1,0,0,
3.961334,8.125,2,6.464908,5.89995,-1.5,0,1,0,0,
3.95152,8.0625,2,6.451397,5.84995,-1.25,0,1,0,0,
3.94163,8,2,6.437813,5.79995,-1,0,1,0,0,
3.931664,7.9375,2,6.424155,5.749949,-0.75,0,1,0,0,
3.921618,7.875,2,6.410421,5.699949,-0.5,0,1,0,0,
3.911493,7.8125,2,6.39661,5.649949,-0.25,0,1,0,0,
3.901287,7.75,2,6.382721,5.599949,0,0,1,0,0,
3.890999,7.6875,2,6.368752,5.549949,0.25,0,1,0,0,
3.880627,7.625,3,6.354702,5.499949,-1.5,0,1,0,0,
3.870171,7.5625,3,6.340569,5.449948,-1.25,0,1,0,0,
3.859627,7.5,3,6.326353,5.399948,-1,0,1,0,0,
3.848995,7.4375,3,6.31205,5.349948,-0.75,0,1,0,0,
3.838274,7.375,3,6.29766,5.299948,-0.5,0,1,0,0,
3.827461,7.3125,3,6.283181,5.249948,-0.25,0,1,0,0,
3.816556,7.25,3,6.268611,5.199947,0,0,1,0,0,
3.805557,7.1875,3,6.253949,5.149947,0.25,1,0,0,0,
3.925797,8.125,2,6.239192,5.099947,0,1,0,0,0,
3.915691,8.0625,2,6.22434,5.049947,0.25,0,1,0,0,
3.905504,8,3,6.20939,4.999947,-1.5,0,1,0,0,
3.895234,7.9375,3,6.194339,4.949946,-1.25,0,1,0,0,
3.88488,7.875,3,6.179186,4.899946,-1,0,1,0,0,
3.87444,7.8125,3,6.163929,4.849946,-0.75,0,1,0,0,
3.863912,7.75,3,6.148566,4.799946,-0.5,0,1,0,0,
3.853295,7.6875,3,6.133095,4.749946,-0.25,0,1,0,0,
3.842588,7.625,3,6.117513,4.699945,0,0,1,0,0,
3.831789,7.5625,3,6.101817,4.649945,0.25,1,0,0,0,
3.946058,8.5,2,6.086006,4.599945,0,1,0,0,0,
3.936057,8.4375,2,6.070076,4.549945,0.25,0,0,1,0,
4.081915,8.375,2,7.075686,12.49994,-7.5,0,0,1,0,
4.073151,8.3125,2,7.066677,12.44994,-7.25,0,0,1,0,
4.064326,8.25,2,7.057653,12.39994,-7,0,0,1,0,
4.055439,8.1875,2,7.048613,12.34994,-6.75,0,0,1,0,
4.046491,8.125,2,7.039556,12.29994,-6.5,0,0,1,0,
4.037479,8.0625,2,7.030482,12.24994,-6.25,0,0,1,0,
4.028403,8,2,7.021392,12.19994,-6,0,0,1,0,
4.019262,7.9375,2,7.012285,12.14994,-5.75,0,0,1,0,
4.010055,7.875,2,7.003161,12.09994,-5.5,0,0,1,0,
4.000781,7.8125,2,6.99402,12.04994,-5.25,0,0,1,0,
3.991438,7.75,2,6.984862,11.99994,-5,0,0,1,0,
3.982026,7.6875,2,6.975686,11.94994,-4.75,0,0,1,0,
3.972544,7.625,2,6.966494,11.89994,-4.5,0,0,1,0,
3.962991,7.5625,2,6.957283,11.84994,-4.25,0,0,1,0,
3.953365,7.5,2,6.948054,11.79994,-4,0,0,1,0,
3.943665,7.4375,2,6.938807,11.74994,-3.75,0,0,1,0,
3.93389,7.375,2,6.929543,11.69994,-3.5,0,0,1,0,
3.924038,7.3125,2,6.92026,11.64994,-3.25,0,0,1,0,
3.91411,7.25,2,6.910959,11.59994,-3,0,0,1,0,
3.904102,7.1875,2,6.901639,11.54994,-2.75,0,0,1,0,
3.894015,7.125,2,6.892301,11.49994,-2.5,0,0,1,0,
3.883845,7.0625,2,6.882943,11.44994,-2.25,0,0,1,0,
3.873593,7,2,6.873567,11.39994,-2,0,0,1,0,
3.863257,6.9375,2,6.864171,11.34994,-1.75,0,0,1,0,
3.852834,6.875,2,6.854756,11.29994,-1.5,0,0,1,0,
3.842324,6.8125,2,6.845321,11.24994,-1.25,0,0,1,0,
3.831726,6.75,2,6.835866,11.19994,-1,0,0,1,0,
3.821036,6.6875,2,6.826392,11.14994,-0.75,0,0,1,0,
3.810255,6.625,2,6.816897,11.09994,-0.5,0,0,1,0,
3.799379,6.5625,2,6.807383,11.04994,-0.25,0,0,1,0,
3.788408,6.5,2,6.797847,10.99994,0,0,0,1,0,
3.777339,6.4375,2,6.788291,10.94994,0.25,0,1,0,0,
3.766171,6.375,3,6.778715,10.89994,-1.5,0,1,0,0,
3.754902,6.3125,3,6.769116,10.84994,-1.25,0,1,0,0,
3.74353,6.25,3,6.759498,10.79994,-1,0,1,0,0,
3.732052,6.1875,3,6.749857,10.74994,-0.75,0,1,0,0,
3.720468,6.125,3,6.740195,10.69994,-0.5,0,1,0,0,
3.708773,6.0625,3,6.730511,10.64994,-0.25,0,1,0,0,
3.696968,6,3,6.720805,10.59994,0,0,1,0,0,
3.685048,5.9375,3,6.711077,10.54994,0.25,1,0,0,0,
3.830197,6.875,2,6.701326,10.49994,0,1,0,0,0,
3.819605,6.8125,2,6.691552,10.44994,0.25,1,0,0,0,
3.947073,7.75,1,6.681756,10.39994,0,1,0,0,0,
3.937506,7.6875,1,6.671937,10.34994,0.25,0,1,0,0,
3.927866,7.625,2,6.662094,10.29994,-1.5,0,1,0,0,
3.918154,7.5625,2,6.652227,10.24994,-1.25,0,1,0,0,
3.908367,7.5,2,6.642337,10.19994,-1,0,1,0,0,
3.898505,7.4375,2,6.632423,10.14994,-0.75,0,1,0,0,
3.888566,7.375,2,6.622485,10.09994,-0.5,0,1,0,0,
3.87855,7.3125,2,6.612522,10.04994,-0.25,0,1,0,0,
3.868455,7.25,2,6.602534,9.999935,0,0,1,0,0,
3.858279,7.1875,2,6.592521,9.949935,0.25,1,0,0,0,
3.979358,8.125,1,6.582483,9.899935,0,1,0,0,0,
3.970106,8.0625,1,6.57242,9.849935,0.25,0,1,0,0,
3.960787,8,2,6.56233,9.799934,-1.5,0,1,0,0,
